,label,judul,Unnamed: 0,stop
90,1,foto china dilaporkan diamdiam kremasi korban virus corona,,foto china lapor diamdiam kremasi korban virus corona
91,1,kemendagri menolak perpanjangan izin fpi,,kemendagri tolak panjang izin fpi
92,1,jokowi wakili suara rakyat presiden kecurangan,,jokowi wakil suara rakyat presiden curang
93,1,kutipan kim bok dibunuh aktifis china,,kutip kim bok bunuh aktif china
94,1,anies solusi banjir tinggal tunggu musim kemarau,,anies solusi banjir tinggal tunggu musim kemarau
95,1,video jokowi mega pitam hasto bongkar ruu hip diusulkan pdip,,video jokowi mega pitam hasto bongkar ruu hip usul pdip
96,1,pemerintah membagikan kuota gratis insentif melawan,,perintah bagi kuota gratis insentif lawan
97,1,who penularan corona droplet udara,,who tular corona droplet udara
98,1,presiden china mengumumkan virus corona epidemi memohon umat islam mendoakan china,,presiden china umum virus corona epidemi mohon umat islam doa china
99,1,jokowi kekuasaannya prabowo,,jokowi kuasa prabowo
100,1,antena masker,,antena masker
101,1,la gode menyerang asrama tni,,la gode serang asrama tni
102,1,sembuh menhub budi karya dinyatakan positif,,sembuh menhub budi karya nyata positif
103,1,gb gratis ulang google,,gb gratis ulang google
104,1,wakil rektor ii universitas muslim indonesia dikeroyok mahasiswa,,wakil rektor ii universitas muslim indonesia keroyok mahasiswa
105,1,koplak kompas tv demo tolak hip ga disiarkan giliran demo pdip live,,koplak kompas tv demo tolak hip ga siar gilir demo pdip live
106,1,tekan cancel kali masukkan kartu atm,,tekan cancel kali masuk kartu atm
107,1,kivlan zein soenarko bebas,,kivlan zein soenarko bebas
108,1,haramnya ilmu filsafat,,haram ilmu filsafat
109,1,foto struk tarif tol ditambah tarif tilang jalan tol jombangmojokerto,,foto struk tarif tol tambah tarif tilang jalan tol jombangmojokerto
110,1,pilpres dibatalkan ditunda,,pilpres batal tunda
111,1,fadlizon mendaulat anies duta germo,,fadlizon daulat anies duta germo
112,1,kecamatan lampung red zone,,camat lampung red zone
113,1,minggu kedepan padang hati hati waspada gempa sr,,minggu depan padang hati hati waspada gempa sr
114,1,pendidikan agama islam bahasa arab ditiadakan sekolah madrasah ra mi mts ma,,didik agama islam bahasa arab tiada sekolah madrasah ra mi mts ma
115,1,kas negara kosong,,kas negara kosong
116,1,sekeluarga kena corona tinggal bintaro sektor,,keluarga kena corona tinggal bintaro sektor
117,1,hindari citos byk karyawannya terpapar area citos rawan,,hindar citos byk karyawannya papar area citos rawan
118,1,foto malesiya sapu habis penduduk asing,,foto malesiya sapu habis duduk asing
119,1,tuduhan foto interior lab darurat labkesda dki hasil mencomot,,tuduh foto interior lab darurat labkesda dki hasil comot
120,1,peta sebaran wilayah situbondo,,peta sebar wilayah situbondo
121,1,kecewa kader nu jadikan menteri agama pbnu doakan jokowi kualat,,kecewa kader nu jadi menteri agama pbnu doa jokowi kualat
122,1,video berjudul inalilahiwainairojiun meninggal dunia bpk wiranto selamat jln bpk wiranto,,video judul inalilahiwainairojiun tinggal dunia bpk wiranto selamat jln bpk wiranto
123,1,dihina presiden lebanon turki kirim bantuan kali,,hina presiden lebanon turki kirim bantu kali
124,1,palestina dihapus google peta dunia,,palestina hapus google peta dunia
125,1,bendung walahar meluap jati luhur penuh,,bendung walahar luap jati luhur penuh
126,1,legenda hello kitty berasal gadis penderita kanker mulut hello kiity bahasa china halo iblis,,legenda hello kitty asal gadis derita kanker mulut hello kiity bahasa china halo iblis
127,1,suhu panas kuwait melelehkan mobil lampu lalulintas,,suhu panas kuwait leleh mobil lampu lalulintas
128,1,memasak popcorn ponsel,,masak popcorn ponsel
129,1,video pesepeda masuk pantai indah kapuk pakai paspor,,video sepeda masuk pantai indah kapuk pakai paspor
130,1,pembegalan jalan bango cilandak,,begal jalan bango cilandak
131,1,italia mengumumkan penyerahannya,,italia umum serah
132,1,dana bantuan buku tabungan bodong renovasi rumah korban gempa lombok,,dana bantu buku tabung bodong renovasi rumah korban gempa lombok
133,1,narasi foto islam nusantara sholat berlatar salib,,narasi foto islam nusantara sholat latar salib
134,1,luhut perintahkan tnipolri tangkap pemda tutup bandara,,luhut perintah tnipolri tangkap pemda tutup bandara
135,1,said aqil bernama asli i made wiryawan saidi beragama hindu berasal lombok,,said aqil nama asli i made wiryawan saidi agama hindu asal lombok
136,1,dapur masak nasi anjing terbakar,,dapur masak nasi anjing bakar
137,1,pt hebat milik kaesang anak jokowi kemenkop m utk pelatihan ukm,,pt hebat milik kaesang anak jokowi kemenkop m utk latih ukm
138,1,china bener jahat mengirim baju bundle pakaian bekas pakai orang yg mati akibat virus,,china bener jahat kirim baju bundle pakai bekas pakai orang mati akibat virus
139,1,efek kejut ciri khas gubernur angka mayat markup,,efek kejut ciri khas gubernur angka mayat markup
140,1,calon gubernur sulawesi selatan nurdin halid bertemu komisioner kpud diam diam,,calon gubernur sulawesi selatan nurdin halid temu komisioner kpud diam diam
141,1,pencitraan shaf sholat padang dimundurkan,,citra shaf sholat padang mundur
142,1,megawati anak pungut soekarno,,megawati anak pungut soekarno
143,1,gubernur kalbar memakai sepatu masjid,,gubernur kalbar pakai sepatu masjid
144,1,negara membuang jenazah pasien laut,,negara buang jenazah pasien laut
145,1,pesan berantai cipularang longsor kanan kiri jalan jalan terancam putus longsoran,,pesan beranta cipularang longsor kanan kiri jalan jalan ancam putus longsor
146,1,foto proses produksi mobil esemka,,foto proses produksi mobil esemka
147,1,saksi prabowosandi ppk amalatu mati ditebas lehernya putus,,saksi prabowosandi ppk amalatu mati tebas leher putus
148,1,segerombolan wna cina berseragam tentara bersenjata kalimantan utara,,gerombol wna cina seragam tentara senjata kalimantan utara
149,1,alat bantu de canggih,,alat bantu de canggih
150,1,kambing melahirkan anak babi,,kambing lahir anak babi
151,1,virus bernama sfts china,,virus nama sfts china
152,1,corona merebak gibran salahkan rakyat patuhi aturan pemerintah,,corona rebak gibran salah rakyat patuh atur perintah
153,1,azan melemahkan virus corona,,azan lemah virus corona
154,1,jokowi anak kandung sulami,,jokowi anak kandung sulam
155,1,si adik meninggal,,si adik tinggal
156,1,video pesawat jatuh tol banyumanik,,video pesawat jatuh tol banyumanik
157,1,video detik detik maruf amin mundur diganti prabowo wakil presiden dampingi jokowi,,video detik detik maruf amin mundur ganti prabowo wakil presiden damping jokowi
158,1,dekan perguruan,,dekan guru
159,1,video cina rrc menyusup masuk bandara banyuwangi ketahuan ditangkap,,video cina rrc susup masuk bandara banyuwangi tahu tangkap
160,1,aplikasi body temperature diary mengukur suhu tubuh beli alat test,,aplikasi body temperature diary ukur suhu tubuh beli alat test
161,1,foto pemerintah sibuk melawan corona anies sibuk main bola anaknya,,foto perintah sibuk lawan corona anies sibuk main bola anak
162,1,corona jihad pedagang sengaja meludahi bungkus makanan,,corona jihad dagang sengaja ludah bungkus makan
163,1,foto truk bermuatan rudal jalan tol,,foto truk muat rudal jalan tol
164,1,aplikasi program war room tkn mengubah data,,aplikasi program war room tkn ubah data
165,1,foto sri mulyani berjilbab kode pilkada tagihan jatuh tempo,,foto sri mulyani jilbab kode pilkada tagih jatuh tempo
166,1,video kembang api olimpiade ditampilkan olimpiade tokyo ditunda,,video kembang api olimpiade tampil olimpiade tokyo tunda
167,1,burhanuddin muhtadi miliar menangkan jokowi,,burhanuddin muhtadi miliar menang jokowi
168,1,raja salman meninggal terindikasikan keracunan kopi,,raja salman tinggal indikasi racun kopi
169,1,tka china pekerjaan proyek pltu morowali,,tka china kerja proyek pltu morowali
170,1,tka china ditolak masuk indonesia internet indonesia diblokir,,tka china tolak masuk indonesia internet indonesia blokir
171,1,larangan rumah puncak penyebaran virus corona,,larang rumah puncak sebar virus corona
172,1,penculikan anak remaja diambil organnya mayatnya dijahit dibuang kekali season city,,culi anak remaja ambil organ mayat jahit buang kekal season city
173,1,bahaya bertelepon dapur kompor menyala,,bahaya telepon dapur kompor nyala
174,1,js prabowo pesawat ditumpangi prabowo aborted take off take off diujung runway melintas jet tempur,,js prabowo pesawat tumpang prabowo aborted take off take off ujung runway lintas jet tempur
175,1,suspect corona melarikan rs persahabatan driver ojek online,,suspect corona lari rs sahabat driver ojek online
176,1,jokowi nyatakan indonesia dilockdown,,jokowi nyata indonesia dilockdown
177,1,profesor chen horin lemon panas membunuh sel kanker,,profesor chen horin lemon panas bunuh sel kanker
178,1,ketua kpud bekasi meninggal dunia,,ketua kpud bekas tinggal dunia
179,1,bocor bapaknya jokowi asli,,bocor bapak jokowi asli
180,1,italia gereja dibuka jemaatnya meninggal covid,,italia gereja buka jemaat tinggal covid
181,1,kompensasi listrik pln work from home,,kompensasi listrik pln work from home
182,1,luhut jokowi sholat jumat rakaat prabowo kalah,,luhut jokowi sholat jumat rakaat prabowo kalah
183,1,pemilu dilaksanakan tau menang,,milu laksana tau menang
184,1,dana haji dipakai pemerintah jokowi membangun infrastruktur,,dana haji pakai perintah jokowi bangun infrastruktur
185,1,kebijakan yg merusak menjerumuskan generasi penerus bangsamenjauhkan nilai agama,,bijak rusak jerumus generasi terus bangsamenjauhkan nilai agama
186,1,foto pupuk cendana jamian mutu,,foto pupuk cendana jamian mutu
187,1,modus menghabisi ustadz disuntik mati,,modus habis ustadz suntik mati
188,1,foto cekungan bekas lokasi ledakan beirut kemarin fix,,foto cekung bekas lokasi ledak beirut kemarin fix
189,1,jabatan presiden perpanjang pilpres,,jabat presiden panjang pilpres
190,1,pesan berantai ganjar pranowo bolehkan warga jawa salat idul fitri,,pesan beranta ganjar pranowo boleh warga jawa salat idul fitri
191,1,kartu dijanjikan wapres maruf debat cawapres terealisasi,,kartu janji wapres maruf debat cawapres realisasi
192,1,penganut islam kristen yahudi buddha hadir selandia mengalunkan asmaul husna kalimat tauhid menghadapi wabah corona,,anut islam kristen yahudi buddha hadir selandia alun asmaul husna kalimat tauhid hadap wabah corona
193,1,suara ketua dpr puan berjanji mensejahterakan partai,,suara ketua dpr puan janji sejahtera partai
194,1,tentara india membunuh kakeknya bocah lakilaki mengambil batu membunuh pembunuh kakeknya,,tentara india bunuh kakek bocah lakilaki ambil batu bunuh bunuh kakek
195,1,virus corona diobati berendam air laut,,virus corona obat rendam air laut
196,1,missed call nomor negeri menyalin daftar kontak mengakses sim card menjebol data bank,,missed call nomor negeri salin daftar kontak akses sim card jebol data bank
197,1,video produksi beras plastik,,video produksi beras plastik
198,1,kemenag hapus materi perang uhud badar kurikulum madrasah,,kemenag hapus materi perang uhud badar kurikulum madrasah
199,1,jokowi nama lahirnya herberthus,,jokowi nama lahir herberthus
200,1,pembatasan sosial jakartabandung diterapkan,,batas sosial jakartabandung terap
201,1,video azan spanyol dilarang,,video azan spanyol larang
202,1,video jemaah umrah tertahan pesawat positif terinfeksi virus corona,,video jemaah umrah tahan pesawat positif infeksi virus corona
203,1,anies gelar kehormatan perkumpulan tiong hoa dg nama liem ay bon,,anies gelar hormat kumpul tiong hoa dg nama liem ay bon
204,1,video polisi bagibagi sembako jelang pilpres,,video polisi bagibagi sembako jelang pilpres
205,1,kuaci direbus tulang babi,,kuaci rebus tulang babi
206,1,istri sah labrak wanita simpanan dirut garuda,,istri sah labrak wanita simpan dirut garuda
207,1,pertolongan stroke tusukan jarum ujung jari masingmasing daun telinga,,tolong stroke tusuk jarum ujung jari masingmasing daun telinga
208,1,drone matamata berbentuk serangga didanai pemerintah amerika serikat produksi,,drone matamata bentuk serangga dana perintah amerika serikat produksi
209,1,matahari lunar hunter,,matahari lunar hunter
210,1,video angin puting beliung menerjang sukabumi,,video angin puting beliung terjang sukabumi
211,1,warga dihimbau melintas toko spectra odp akibat virus corona,,warga dihimbau lintas toko spectra odp akibat virus corona
212,1,rs premier bintaro dilockdown tenaga medis positif,,rs premier bintaro dilockdown tenaga medis positif
213,1,ledakan dahsyat kota wuhan disembunyikan pemerintah china,,ledak dahsyat kota wuhan sembunyi perintah china
214,1,auman raksasa dajjal dasar lautan samudra pasifik,,aum raksasa dajjal dasar laut samudra pasifik
215,1,dimatiin nutupin fakta,,dimatiin nutupin fakta
216,1,uang pangkal masuk undip mencapai miliar rupiah,,uang pangkal masuk undip capai miliar rupiah
217,1,puskesmas kelapa gading rujuk pasien wisma atlet,,puskesmas kelapa gading rujuk pasien wisma atlet
218,1,tenaga medis sampang sengaja sebarkan corona disuntik,,tenaga medis sampang sengaja sebar corona suntik
219,1,video isi nya habis,,video isi habis
220,1,video kisah pilu italy nya meninggal pasien,,video kisah pilu italy tinggal pasien
221,1,pembuangan mayat,,buang mayat
222,1,pasar kodya cirebon ditutup maret,,pasar kodya cirebon tutup maret
223,1,sapi tersambar petir kupang dagingnya dijual pasar,,sapi sambar petir kupang daging jual pasar
224,1,hoaks kewarganegaraan marsma tni suryo margono,,hoaks kewarganegaraan marsma tni suryo margono
225,1,den haag prabowo ajukan gugatan mahkamah internasional mmaufc,,den haag prabowo aju gugat mahkamah internasional mmaufc
226,1,artikel perlawanan gulingkan jokowi ditulis tb hasanuddin,,artikel lawan guling jokowi tulis tb hasanuddin
227,1,bahan baku uang kertas dollar amerika serat pohon pisang abaka,,bahan baku uang kertas dollar amerika serat pohon pisang abaka
228,1,video boss china dibantai pribumi amerika indonesia,,video boss china bantai pribumi amerika indonesia
229,1,video tiktok hana hanifah kantor berlogo bin,,video tiktok hana hanifah kantor logo bin
230,1,video pdip menyuruh orang membakar bendera pdip,,video pdip suruh orang bakar bendera pdip
231,1,narasi pesan himbauan pencegahan virus corona mengatasnamakan unicef,,narasi pesan himbauan cegah virus corona mengatasnamakan unicef
232,1,tangkapan layar rieke dyahaku bingung memangnya pki bangkit kenapaada ya,,tangkap layar rieke dyahaku bingung memang pki bangkit kenapaada
233,1,bendungan bilibili melewati batas angka normal,,bendung bilibili lewat batas angka normal
234,1,korban main game kalo kena syaraf coba,,korban main game kalo kena syaraf coba
235,1,informasi perampokan perumahan puri khasanah cipayung depok,,informasi ampo rumah puri khasanah cipayung depok
237,1,kiriman video betapa dahsyatnya wabah covid amerika,,kirim video betapa dahsyat wabah covid amerika
238,1,china menunggu kekacauan indonesia indonesia kacau china masuk indonesia alasan mengamankan harta,,china tunggu kacau indonesia indonesia kacau china masuk indonesia alas aman harta
239,1,susi pudjiastuti dirut garuda desember,,sus pudjiastuti dirut garuda desember
240,1,kemunculan oarfish pertanda gempa bumi dahsyat tsunami,,muncul oarfish tanda gempa bumi dahsyat tsunami
241,1,dampak negatif masker,,dampak negatif masker
242,1,corona virus viral iqro,,corona virus viral iqro
243,1,xi jin ping indonesia yg mengendalikan covid,,xi jin ping indonesia kendali covid
244,1,pasien postif virus corona sungai rangit dijemput paksa kepolisian tim medis,,pasien postif virus corona sungai rangit jemput paksa polisi tim medis
245,1,kanika kapoor tularkan virus corona pangeran charles,,kanika kapoor tular virus corona pangeran charles
246,1,arief budiman kutuk batu kpu curang,,arief budiman kutuk batu kpu curang
247,1,bukti anis bas edan anggota isis syekh yusuf alqaradhawi pimpinan isis,,bukti anis bas edan anggota isis syekh yusuf alqaradhawi pimpin isis
248,1,kpu dituduh penggiringan opini,,kpu tuduh giring opini
249,1,nabila jessica alexis hotel,,nabila jessica alexis hotel
250,1,menteri negeri indonesia retnomarsudi pemerintahannya kewalahan kepemimpinan ulmwp,,menteri negeri indonesia retnomarsudi perintah kewalahan pimpin ulmwp
251,1,penerapan psbb kota depok tutup jalan,,terap psbb kota depok tutup jalan
252,1,mengalahkan virus korona mengambil makanan alkali tingkat ph virus,,kalah virus korona ambil makan alkali tingkat ph virus
253,1,foto rumah sakit tega meloloskan bapa membawa pulang mayat anaknya sepeda motor,,foto rumah sakit tega lolos bapa bawa pulang mayat anak sepeda motor
254,1,video atlet asing peserta asian games menari iringan lagu meraih bintang bandara soekarno hatta,,video atlet asing serta asi games tari iring lagu raih bintang bandara soekarno hatta
255,1,anies menuduh ahok menyabotase lift,,anies tuduh ahok sabotase lift
256,1,jokowi memperpanjang kontrak freeport,,jokowi panjang kontrak freeport
257,1,inventaris pesawat terbang camat kabupaten cilacap,,inventaris pesawat terbang camat kabupaten cilacap
258,1,suntik kb sebabkan kista ovarium,,suntik kb sebab kista ovarium
259,1,foto anggota ormas fpi pencurian,,foto anggota ormas fpi curi
260,1,zona hitam surabaya,,zona hitam surabaya
261,1,video rapat program buka puasa dki jakarta,,video rapat program buka puasa dki jakarta
262,1,maruf amin kalo urusan nipu rakyat jokowi ahlinya diajarinya ahli,,maruf amin kalo urus nipu rakyat jokowi ahli ajar ahli
263,1,buah disuntik darah hivaids tujuan menghabiskan orang asli papua,,buah suntik darah hivaids tuju habis orang asli papua
264,1,dokumen asli menangkan ditemukan sampah gor raja jafar sekupang batam,,dokumen asli menang temu sampah gor raja jafar kupang batam
265,1,nih bikin covid si jagoan wall street,,nih bikin covid si jago wall street
266,1,naruh bom tukang gojek islam sudutkan tuduh teroris,,naruh bom tukang gojek islam sudut tuduh teroris
267,1,foto wiwik sri rahayu surabaya divonis hukuman pancung arab saudi,,foto wiwik sri rahayu surabaya vonis hukum pancung arab saudi
268,1,ketaatan loyalitas tni presiden,,taat loyalitas tni presiden
269,1,video barack obama melempar hadiah melania trump,,video barack obama lempar hadiah melania trump
270,1,logo sembako bantuan presiden logo garuda ganti bintang,,logo sembako bantu presiden logo garuda ganti bintang
271,1,anjuran mantan menkes jemur uang sinar matahari menit cegah penularan,,anjur mantan menkes jemur uang sinar matahari menit cegah tular
272,1,video menag forum lgbtiq penerima penghargaan,,video menag forum lgbtiq terima harga
273,1,ulama windusari dijemput paksa terkait,,ulama windusari jemput paksa kait
274,1,mantan manajer rapp istri terpapar,,mantan manajer rapp istri papar
275,1,muncul virus china corona hantavirus,,muncul virus china corona hantavirus
276,1,pemberitahuan kementerian kesehatan metode pencegahan virus corona minum air hangat,,pemberitahuan menteri sehat metode cegah virus corona minum air hangat
277,1,menhan prabowo menhan china membebaskan sandara tahan cham militer china,,menhan prabowo menhan china bebas sandara tahan cham militer china
278,1,jalan kota malang terapkan tilang elektronik,,jalan kota malang terap tilang elektronik
279,1,imunisasi tipu daya zionist memasukkan bibit penyakit jangka pendek,,imunisasi tipu daya zionist masuk bibit sakit jangka pendek
280,1,pertemuan referendum raja sultan senusantara,,temu referendum raja sultan nusantara
281,1,presiden prancis macron maaf berjanji membantu pendirian sekolah turki prancis,,presiden prancis macron maaf janji bantu diri sekolah turki prancis
282,1,tentara korea utara masuk islam,,tentara korea utara masuk islam
283,1,cicilan nasabah positif ditangguhkan,,cicil nasabah positif tangguh
284,1,negara bangkrut kk akte dicetak kertas hvs,,negara bangkrut kk akte cetak kertas hvs
285,1,perintah pemimpin negaraseluruh karyawan pns asn diwajib berpakaian foto dibawa mentri agama menteri komunis,,perintah pimpin negaraseluruh karyawan pns asn wajib pakai foto bawa tri agama menteri komunis
286,1,anies piknik anak yatim dhuafa diliput media,,anies piknik anak yatim dhuafa liput media
287,1,turn back hoax tukang nyebar fitnah,,turn back hoax tukang nyebar fitnah
288,1,foto kebohongan kecurangan wali kota solo,,foto bohong curang wali kota solo
289,1,china lakukan uji coba vaksin indonesia kekurangan monyet,,china laku uji coba vaksin indonesia kurang monyet
290,1,virus sengaja dimasukkan kedalam tubuh masyarakat alat rapid test,,virus sengaja masuk dalam tubuh masyarakat alat rapid test
291,1,dokter italia sengaja membunuh pasien virus corona,,dokter italia sengaja bunuh pasien virus corona
292,1,dokter israel membantu pasien corona china,,dokter israel bantu pasien corona china
293,1,pemasukan tiktok mendirikan kamp konsentrasi muslim uighur china,,pasu tiktok diri kamp konsentrasi muslim uighur china
294,1,kangkung mematikan membawa malapetaka,,kangkung mati bawa malapetaka
295,1,tolak jabatan menteri sandiaga pengangguran kacungnya rezim,,tolak jabat menteri sandiaga anggur kacung rezim
296,1,kpu umumkan hasil perhitungan suara pilpres,,kpu umum hasil hitung suara pilpres
